Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-05-16,0.02,69,58,87,23509,35.45233740269684,7.790625,12.630818181818182,12.630818181818182
2019-05-17,0.11,67,58,81,24287,35.44307654300655,6.528124999999998,13.604636363636365,13.604636363636365
2019-05-18,0.0,70,,,12164,35.21201907267346,5.621875,18.646727272727272,18.646727272727272
2019-05-19,0.0,75,56,86,10540,35.27125237191651,4.5874999999999995,21.646545454545457,21.646545454545457
2019-05-20,0.0,74,58,88,29722,35.22690263104771,5.871874999999999,19.518181818181816,19.518181818181816
2019-05-21,0.0,75,62,86,29757,35.0993715764358,6.740625,20.023,20.023
2019-05-22,0.15,71,58,88,31080,35.078410553410556,7.0375,20.515909090909094,20.515909090909094
2019-05-23,0.01,74,61,88,30674,35.07397144161179,6.284374999999999,20.05909090909091,20.05909090909091
2019-05-24,0.0,71,55,86,28157,35.244699364278866,5.221875000000002,17.647181818181817,17.647181818181817
2019-05-25,0.0,70,59,82,12704,35.214105793450884,3.55625,19.826999999999998,19.826999999999998
2019-05-26,0.0,71,57,84,11160,34.983870967741936,2.5187500000000003,21.494181818181815,21.494181818181815
2019-05-27,0.0,72,57,84,30381,35.02353444587077,4.750000000000001,20.528363636363636,20.528363636363636
2019-05-28,0.0,72,58,84,32255,35.04563633545187,5.79375,22.104181818181818,22.104181818181818
2019-05-29,0.0,75,61,85,31994,35.140995186597486,5.793749999999999,20.011636363636367,20.011636363636367
2019-05-30,0.0,75,62,87,31743,35.144189270075294,5.253124999999999,19.94572727272727,19.94572727272727
2019-05-31,0.0,71,61,86,28611,35.253294187550246,4.1156250000000005,16.76627272727273,16.76627272727273
2019-06-01,0.2,69,59,86,9457,35.673469387755105,11.221874999999999,17.685454545454547,17.685454545454547
2019-06-02,0.0,67,,,30516,35.14818455891991,10.421875,19.96,19.96
2019-06-03,0.0,66,58,72,31622,35.1954651824679,8.39375,21.87009090909091,21.87009090909091
2019-06-04,0.0,67,,,13217,35.24861920254218,5.665625,16.40490909090909,16.40490909090909
2019-06-05,0.03,65,58,78,30472,35.01466920451562,7.087499999999999,17.09009090909091,17.09009090909091
2019-06-06,0.0,63,58,73,23783,35.18361855106589,6.0874999999999995,14.972454545454546,14.972454545454546
2019-06-07,0.79,65,56,81,11694,35.24610911578587,3.812499999999999,20.396545454545457,20.396545454545457
2019-06-08,0.22,68,56,81,28879,34.97070535683368,6.621875,18.414,18.414
2019-06-09,0.0,72,,,29321,35.13352204904335,4.254375,19.908,19.908
2019-06-10,0.0,69,56,85,,,3.8499999999999988,21.025909090909092,21.025909090909092
2019-06-11,0.0,65,56,79,,,5.296874999999999,17.623545454545454,17.623545454545454
2019-06-12,0.0,71,,,,,8.065625,17.062545454545454,17.062545454545454
2019-06-13,0.0,67,57,80,27449,35.25250464497796,4.2125,14.847272727272724,14.847272727272724
2019-06-14,0.0,63,,,28716,35.202186934113385,4.6,18.40890909090909,18.40890909090909
2019-06-15,0.01,67,,,13093,35.212479951118915,4.8,23.41936363636363,23.41936363636363
2019-06-16,0.0,73,58,83,10279,35.125887732269675,5.387499999999999,23.59454545454545,23.59454545454545
2019-06-17,0.0,71,61,85,30092,34.897946298019406,5.125,22.897909090909092,22.897909090909092
2019-06-18,,,,,29680,35.06997978436657,3.5374999999999988,19.88036363636364,19.88036363636364
2019-06-19,0.07,69,60,87,31943,35.031117928810694,5.903124999999999,18.71818181818182,18.71818181818182
2019-06-20,0.0,69,59,83,29387,35.193010514853505,8.15625,19.849818181818183,19.849818181818183
2019-06-21,0.04,71,,,28869,35.08950777650767,6.653124999999998,23.00709090909091,23.00709090909091
2019-06-22,,71,60,88,13260,35.00241327300151,5.603125,17.122,17.122
2019-06-23,,68,61,79,9461,35.312123454180316,5.078124999999999,16.946272727272728,16.946272727272728
2019-06-24,,65,58,72,23363,35.08312288661559,6.2281249999999995,13.078909090909091,13.078909090909091
2019-06-25,0.18,64,57,73,29280,34.9686475409836,7.084375,13.982636363636363,13.982636363636363
2019-06-26,0.24,66,,,29677,35.11241028405836,8.465625,16.794545454545453,16.794545454545453
2019-06-27,0.34,65,57,81,29147,35.20623048684256,3.9625000000000004,18.886545454545455,18.886545454545455
2019-06-28,0.07,65,54,77,28094,35.20659215490852,3.443749999999999,21.855363636363638,21.855363636363638
2019-06-29,0.06,63,54,78,13596,35.11900558987938,3.115625000000001,20.52663636363636,20.52663636363636
2019-06-30,0.0,67,,,10012,35.48022373152217,4.0843750000000005,19.843909090909087,19.843909090909087
2019-07-01,0.04,63,52,77,25996,35.04489152177258,11.071875,17.624545454545455,17.624545454545455
